episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,iql,CartPole-v1,,,0.0880923867225647,,0.7566814422607422,,,0.0880923867225647,0.3232330083847046,0.0880923867225647
4000,iql,CartPole-v1,,,0.1696522831916809,,1.9472516775131226,,,0.1696522831916809,0.10522827506065369,0.1696522831916809
6000,iql,CartPole-v1,,,0.17062920331954956,,3.2381744384765625,,,0.17062920331954956,0.016266167163848877,0.17062920331954956
8000,iql,CartPole-v1,,,0.1100771427154541,,3.9513888359069824,,,0.1100771427154541,0.04779057577252388,0.1100771427154541
10000,iql,CartPole-v1,,,0.25077372789382935,,5.269275188446045,,,0.25077372789382935,0.009858576580882072,0.25077372789382935
12000,iql,CartPole-v1,,,0.2737097144126892,,6.626147270202637,,,0.2737097144126892,0.01968611218035221,0.2737097144126892
14000,iql,CartPole-v1,,,0.2111455798149109,,7.536643981933594,,,0.2111455798149109,0.013474228791892529,0.2111455798149109
16000,iql,CartPole-v1,,,0.28900784254074097,,7.5019965171813965,,,0.28900784254074097,0.02521071955561638,0.28900784254074097
18000,iql,CartPole-v1,,,0.2849099934101105,,7.155289649963379,,,0.2849099934101105,0.018594050779938698,0.2849099934101105
20000,iql,CartPole-v1,,,0.16346114873886108,,6.838140487670898,,,0.16346114873886108,0.019692040979862213,0.16346114873886108
22000,iql,CartPole-v1,,,0.25762951374053955,,8.053693771362305,,,0.25762951374053955,0.009199474938213825,0.25762951374053955
24000,iql,CartPole-v1,,,0.14655788242816925,,8.687111854553223,,,0.14655788242816925,0.011228623799979687,0.14655788242816925
26000,iql,CartPole-v1,,,0.30773627758026123,,7.737602710723877,,,0.30773627758026123,0.043795984238386154,0.30773627758026123
28000,iql,CartPole-v1,,,0.13360585272312164,,8.286080360412598,,,0.13360585272312164,0.024836286902427673,0.13360585272312164
30000,iql,CartPole-v1,,,0.2693610191345215,,7.626888751983643,,,0.2693610191345215,0.031390897929668427,0.2693610191345215
32000,iql,CartPole-v1,,,0.45496663451194763,,7.759821891784668,,,0.45496663451194763,0.03178225830197334,0.45496663451194763
34000,iql,CartPole-v1,,,0.34857606887817383,,7.97391414642334,,,0.34857606887817383,0.01157323457300663,0.34857606887817383
36000,iql,CartPole-v1,,,0.1700229048728943,,7.795438289642334,,,0.1700229048728943,0.020249366760253906,0.1700229048728943
38000,iql,CartPole-v1,,,0.25668036937713623,,9.487995147705078,,,0.25668036937713623,0.04087061062455177,0.25668036937713623
40000,iql,CartPole-v1,,,0.22740362584590912,,7.708108901977539,,,0.22740362584590912,0.0300681684166193,0.22740362584590912
42000,iql,CartPole-v1,,,0.1571924388408661,,8.667065620422363,,,0.1571924388408661,0.044053852558135986,0.1571924388408661
44000,iql,CartPole-v1,,,0.16385141015052795,,7.639410972595215,,,0.16385141015052795,0.02836870588362217,0.16385141015052795
46000,iql,CartPole-v1,,,0.2792264223098755,,8.703116416931152,,,0.2792264223098755,0.04033954441547394,0.2792264223098755
48000,iql,CartPole-v1,,,0.12619265913963318,,8.123373031616211,,,0.12619265913963318,0.03895852714776993,0.12619265913963318
50000,iql,CartPole-v1,,,0.11873357743024826,,9.12690544128418,,,0.11873357743024826,0.03712194040417671,0.11873357743024826
