episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,iql,CartPole-v1,,,0.07607618719339371,,0.004919047467410564,,,0.07607618719339371,0.49264848232269287,0.07607618719339371
4000,iql,CartPole-v1,,,0.271049827337265,,0.1389206349849701,,,0.271049827337265,0.36268889904022217,0.271049827337265
6000,iql,CartPole-v1,,,1.1675488948822021,,0.4986090064048767,,,1.1675488948822021,0.4006964862346649,1.1675488948822021
8000,iql,CartPole-v1,,,0.3548959493637085,,0.7892848253250122,,,0.3548959493637085,0.3592854142189026,0.3548959493637085
10000,iql,CartPole-v1,,,1.7476966381072998,,1.491398572921753,,,1.7476966381072998,0.2986414432525635,1.7476966381072998
12000,iql,CartPole-v1,,,0.09999704360961914,,1.9947515726089478,,,0.09999704360961914,0.38947367668151855,0.09999704360961914
14000,iql,CartPole-v1,,,2.899601936340332,,2.5357651710510254,,,2.899601936340332,0.3376956880092621,2.899601936340332
16000,iql,CartPole-v1,,,0.0681706890463829,,1.7923831939697266,,,0.0681706890463829,0.3529220223426819,0.0681706890463829
18000,iql,CartPole-v1,,,1.2834750413894653,,4.083073616027832,,,1.2834750413894653,0.2768680453300476,1.2834750413894653
20000,iql,CartPole-v1,,,0.877906084060669,,4.211909770965576,,,0.877906084060669,0.25962087512016296,0.877906084060669
22000,iql,CartPole-v1,,,1.966952919960022,,4.867991924285889,,,1.966952919960022,0.29130834341049194,1.966952919960022
24000,iql,CartPole-v1,,,3.456444501876831,,5.109847068786621,,,3.456444501876831,0.4308539628982544,3.456444501876831
26000,iql,CartPole-v1,,,2.0309886932373047,,2.8031930923461914,,,2.0309886932373047,0.3323811888694763,2.0309886932373047
28000,iql,CartPole-v1,,,2.284496307373047,,4.499932289123535,,,2.284496307373047,0.3295341730117798,2.284496307373047
30000,iql,CartPole-v1,,,0.37238430976867676,,7.0689826011657715,,,0.37238430976867676,0.30965399742126465,0.37238430976867676
32000,iql,CartPole-v1,,,1.0866798162460327,,7.759023666381836,,,1.0866798162460327,0.284795880317688,1.0866798162460327
34000,iql,CartPole-v1,,,0.5639569759368896,,8.139650344848633,,,0.5639569759368896,0.2362487018108368,0.5639569759368896
36000,iql,CartPole-v1,,,3.0363433361053467,,9.94357681274414,,,3.0363433361053467,0.3015914857387543,3.0363433361053467
38000,iql,CartPole-v1,,,0.520703136920929,,8.468247413635254,,,0.520703136920929,0.22129006683826447,0.520703136920929
40000,iql,CartPole-v1,,,0.5680401921272278,,6.795825958251953,,,0.5680401921272278,0.3227258324623108,0.5680401921272278
42000,iql,CartPole-v1,,,0.24374939501285553,,4.271182060241699,,,0.24374939501285553,0.15690691769123077,0.24374939501285553
44000,iql,CartPole-v1,,,0.42260003089904785,,11.941230773925781,,,0.42260003089904785,0.1510247141122818,0.42260003089904785
46000,iql,CartPole-v1,,,0.4344521760940552,,6.94435977935791,,,0.4344521760940552,0.1675887107849121,0.4344521760940552
48000,iql,CartPole-v1,,,0.827011227607727,,9.520143508911133,,,0.827011227607727,0.15792450308799744,0.827011227607727
50000,iql,CartPole-v1,,,2.163947582244873,,6.125191688537598,,,2.163947582244873,0.2846919298171997,2.163947582244873
