episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,iql,CartPole-v1,observational,iql,0.0,0.6102533936500549,12.738356590270996,,,,,,,,,,,0.20732881128787994,0.29267118871212006,845.5538940429688,,32.14031982421875,
4000,iql,CartPole-v1,observational,iql,0.0,0.41803961992263794,22.55309295654297,,,,,,,,,,,1.1815935373306274,0.6815935373306274,515.5111083984375,,32.14031982421875,
6000,iql,CartPole-v1,observational,iql,0.0,0.17394375801086426,30.49040412902832,,,,,,,,,,,1.7703207731246948,1.2703207731246948,376.0196838378906,,32.14031982421875,
8000,iql,CartPole-v1,observational,iql,0.0,0.29191190004348755,36.576393127441406,,,,,,,,,,,2.3212363719940186,1.8212363719940186,349.4322814941406,,32.14031982421875,
10000,iql,CartPole-v1,observational,iql,0.0,0.3797058165073395,41.53561782836914,,,,,,,,,,,2.669161796569824,2.169161796569824,386.90008544921875,,32.14031982421875,
12000,iql,CartPole-v1,observational,iql,0.0,1.068637490272522,45.37750244140625,,,,,,,,,,,3.2080307006835938,2.7080307006835938,451.6019592285156,,32.14031982421875,
14000,iql,CartPole-v1,observational,iql,0.0,0.6664388179779053,48.18375778198242,,,,,,,,,,,3.6682775020599365,3.1682775020599365,518.8863525390625,,32.14031982421875,
16000,iql,CartPole-v1,observational,iql,0.0,0.46932080388069153,50.434608459472656,,,,,,,,,,,3.9683961868286133,3.4683961868286133,589.77978515625,,32.14031982421875,
18000,iql,CartPole-v1,observational,iql,0.0,0.5136228799819946,52.5777587890625,,,,,,,,,,,4.284243583679199,3.784243583679199,671.2284545898438,,32.14031982421875,
20000,iql,CartPole-v1,observational,iql,0.0,0.5166506767272949,54.36891174316406,,,,,,,,,,,4.668583393096924,4.168583393096924,751.9400634765625,,32.14031982421875,
22000,iql,CartPole-v1,observational,iql,0.0,0.6697276830673218,56.1883430480957,,,,,,,,,,,4.966501235961914,4.466501235961914,842.0726318359375,,32.14031982421875,
24000,iql,CartPole-v1,observational,iql,0.0,0.49240583181381226,57.28398132324219,,,,,,,,,,,5.176693916320801,4.676693916320801,901.3187255859375,,32.14031982421875,
26000,iql,CartPole-v1,observational,iql,0.0,1.0388069152832031,58.497066497802734,,,,,,,,,,,5.209850788116455,4.709850788116455,975.3111572265625,,32.14031982421875,
28000,iql,CartPole-v1,observational,iql,0.0,0.4474327862262726,59.89583206176758,,,,,,,,,,,5.46021032333374,4.96021032333374,1051.5775146484375,,32.14031982421875,
30000,iql,CartPole-v1,observational,iql,0.0,1.2283393144607544,60.59641647338867,,,,,,,,,,,5.426560878753662,4.926560878753662,1100.85400390625,,32.14031982421875,
32000,iql,CartPole-v1,observational,iql,0.0,0.7640739679336548,61.22124481201172,,,,,,,,,,,5.704619407653809,5.204619407653809,1138.442138671875,,32.14031982421875,
34000,iql,CartPole-v1,observational,iql,0.0,0.5267512202262878,62.21501922607422,,,,,,,,,,,5.957907676696777,5.457907676696777,1207.672607421875,,32.14031982421875,
36000,iql,CartPole-v1,observational,iql,0.0,0.8161179423332214,62.7926139831543,,,,,,,,,,,6.000234603881836,5.500234603881836,1249.94775390625,,32.14031982421875,
38000,iql,CartPole-v1,observational,iql,0.0,0.7341386079788208,63.29201126098633,,,,,,,,,,,5.9885430335998535,5.4885430335998535,1290.08349609375,,32.14031982421875,
40000,iql,CartPole-v1,observational,iql,0.0,0.4947056174278259,63.85227584838867,,,,,,,,,,,5.9250078201293945,5.4250078201293945,1332.048095703125,,32.14031982421875,
42000,iql,CartPole-v1,observational,iql,0.0,0.5637204647064209,63.91414260864258,,,,,,,,,,,6.110202312469482,5.610202312469482,1343.2823486328125,,32.14031982421875,
44000,iql,CartPole-v1,observational,iql,0.0,0.4366198778152466,64.75064849853516,,,,,,,,,,,6.45573616027832,5.95573616027832,1406.2293701171875,,32.14031982421875,
46000,iql,CartPole-v1,observational,iql,0.0,1.589651107788086,64.53392791748047,,,,,,,,,,,6.069573402404785,5.569573402404785,1399.0224609375,,32.14031982421875,
48000,iql,CartPole-v1,observational,iql,0.0,0.590613842010498,65.01461791992188,,,,,,,,,,,6.540799140930176,6.040799140930176,1431.1907958984375,,32.14031982421875,
50000,iql,CartPole-v1,observational,iql,0.0,0.6444994211196899,65.47997283935547,,,,,,,,,,,6.251862049102783,5.751862049102783,1470.5755615234375,,32.14031982421875,
