episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
0,cql,CartPole-v1,observational,cql,0.0,0.9209128022193909,7.796121597290039,7.2575364112854,0.5385851860046387,0.4604730010032654,0.9753492474555969,0.1951315999031067,0.6379879117012024,0.6736128926277161,,,
0,cql,CartPole-v1,proximal,cql,0.0,0.90289705991745,8.075393676757812,7.2575364112854,0.8178572654724121,0.6908547878265381,0.9745275378227234,0.8962476849555969,0.9467507004737854,0.8954050540924072,,,
0,cql,CartPole-v1,oracle_u,cql,0.0,0.8417273759841919,7.2575364112854,7.2575364112854,0.0,0.0,1.0,1.0,1.0,1.0,,,
10,cql,CartPole-v1,observational,cql,0.0,1.8226814270019531,50.13751983642578,45.94744873046875,4.190071105957031,32.84127426147461,0.8447000980377197,0.934009850025177,0.9776084423065186,0.9383931756019592,,,
10,cql,CartPole-v1,proximal,cql,0.0,1.783302664756775,50.731502532958984,45.94744873046875,4.784053802490234,35.51455307006836,0.8553820848464966,0.9454820156097412,0.9808512330055237,0.939877450466156,,,
10,cql,CartPole-v1,oracle_u,cql,0.0,1.6578588485717773,45.94744873046875,45.94744873046875,0.0,0.0,1.0,1.0,1.0,1.0,,,
21,cql,CartPole-v1,observational,cql,0.0,2.5246665477752686,73.64801788330078,66.95433044433594,6.693687438964844,108.23899841308594,0.8118323683738708,0.9135586619377136,0.9613301753997803,0.9276783466339111,,,
21,cql,CartPole-v1,proximal,cql,0.0,2.7022483348846436,76.4816665649414,66.95433044433594,9.527336120605469,180.9036102294922,0.8159408569335938,0.8771743178367615,0.9469975829124451,0.8963125944137573,,,
21,cql,CartPole-v1,oracle_u,cql,0.0,2.8130953311920166,66.95433044433594,66.95433044433594,0.0,0.0,1.0,1.0,1.0,1.0,,,
31,cql,CartPole-v1,observational,cql,0.0,2.618453025817871,82.9250717163086,74.56620788574219,8.358863830566406,185.8639373779297,0.8200492858886719,0.8880323171615601,0.9591037034988403,0.9251803755760193,,,
31,cql,CartPole-v1,proximal,cql,0.0,2.6864242553710938,91.8529281616211,74.56620788574219,17.286720275878906,454.7478332519531,0.8159408569335938,0.8494939208030701,0.9368152618408203,0.917950451374054,,,
31,cql,CartPole-v1,oracle_u,cql,0.0,3.2098071575164795,74.56620788574219,74.56620788574219,0.0,0.0,1.0,1.0,1.0,1.0,,,
42,cql,CartPole-v1,observational,cql,0.0,3.240151882171631,89.63143920898438,82.0673828125,7.564056396484375,403.8528747558594,0.817584216594696,0.7104314565658569,0.9077421426773071,0.8160173892974854,,,
42,cql,CartPole-v1,proximal,cql,0.0,3.0518276691436768,102.22561645507812,82.0673828125,20.158233642578125,607.7053833007812,0.7460969686508179,0.8317990899085999,0.9343974590301514,0.8750113248825073,,,
42,cql,CartPole-v1,oracle_u,cql,0.0,3.4577417373657227,82.0673828125,82.0673828125,0.0,0.0,1.0,1.0,1.0,1.0,,,
52,cql,CartPole-v1,observational,cql,0.0,3.5708820819854736,97.3415298461914,86.83402252197266,10.50750732421875,510.4735412597656,0.7477403283119202,0.6783063411712646,0.8931716680526733,0.6610589623451233,,,
52,cql,CartPole-v1,proximal,cql,0.0,3.8600516319274902,104.42566680908203,86.83402252197266,17.591644287109375,549.7650756835938,0.770747721195221,0.8067750930786133,0.9210301041603088,0.7770055532455444,,,
52,cql,CartPole-v1,oracle_u,cql,0.0,3.620718240737915,86.83402252197266,86.83402252197266,0.0,0.0,1.0,1.0,1.0,1.0,,,
62,cql,CartPole-v1,observational,cql,0.0,3.216933250427246,101.9248046875,97.5263671875,4.3984375,603.9852294921875,0.7296631336212158,0.6185756921768188,0.843486487865448,0.30968981981277466,,,
62,cql,CartPole-v1,proximal,cql,0.0,4.560904026031494,101.37089538574219,97.5263671875,3.8445281982421875,740.1412963867188,0.6589975357055664,0.5267673134803772,0.8022728562355042,0.44450345635414124,,,
62,cql,CartPole-v1,oracle_u,cql,0.0,3.457932949066162,97.5263671875,97.5263671875,0.0,0.0,1.0,1.0,1.0,1.0,,,
73,cql,CartPole-v1,observational,cql,0.0,3.762540340423584,104.57427215576172,128.84628295898438,-24.272010803222656,1932.7568359375,0.639276921749115,0.5670533180236816,0.7567030787467957,0.1400030553340912,,,
