episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
0,cql,CartPole-v1,observational,cql,0.0,0.8643224239349365,7.039790630340576,7.3349761962890625,-0.29518556594848633,0.28503289818763733,0.942148745059967,-0.7355797290802002,0.6732845306396484,0.6741003394126892,,,
0,cql,CartPole-v1,proximal,cql,0.0,0.7931206226348877,7.424854755401611,7.3349761962890625,0.08987855911254883,0.012130728922784328,0.9568411111831665,0.9644582867622375,0.9826301336288452,0.9835087060928345,,,
0,cql,CartPole-v1,oracle_u,cql,0.0,0.793897807598114,7.3349761962890625,7.3349761962890625,0.0,0.0,1.0,1.0,1.0,1.0,,,
10,cql,CartPole-v1,observational,cql,0.0,1.4708869457244873,46.4078483581543,44.2574577331543,2.150390625,67.1251449584961,0.8126721978187561,0.7235276699066162,0.8515912890434265,0.8962247967720032,,,
10,cql,CartPole-v1,proximal,cql,0.0,1.436790943145752,44.221439361572266,44.2574577331543,-0.03601837158203125,2.6622421741485596,0.9256198406219482,0.9882293343544006,0.9947007298469543,0.9926913976669312,,,
10,cql,CartPole-v1,oracle_u,cql,0.0,1.352651834487915,44.2574577331543,44.2574577331543,0.0,0.0,1.0,1.0,1.0,1.0,,,
21,cql,CartPole-v1,observational,cql,0.0,1.7990769147872925,72.59674835205078,60.32854080200195,12.268207550048828,508.8832092285156,0.805325984954834,0.5274766087532043,0.7296815514564514,0.913112998008728,,,
21,cql,CartPole-v1,proximal,cql,0.0,2.2194056510925293,57.74655532836914,60.32854080200195,-2.5819854736328125,21.968645095825195,0.8842974901199341,0.9798240065574646,0.9903948307037354,0.9730895757675171,,,
21,cql,CartPole-v1,oracle_u,cql,0.0,1.8270933628082275,60.32854080200195,60.32854080200195,0.0,0.0,1.0,1.0,1.0,1.0,,,
31,cql,CartPole-v1,observational,cql,0.0,1.9492361545562744,84.79231262207031,68.1097183227539,16.682594299316406,866.5977172851562,0.6712580323219299,0.4742269515991211,0.6967527270317078,0.88167405128479,,,
31,cql,CartPole-v1,proximal,cql,0.0,3.265315532684326,64.44874572753906,68.1097183227539,-3.6609725952148438,48.651451110839844,0.865932047367096,0.9684971570968628,0.9852216839790344,0.9590296745300293,,,
31,cql,CartPole-v1,oracle_u,cql,0.0,3.6621954441070557,68.1097183227539,68.1097183227539,0.0,0.0,1.0,1.0,1.0,1.0,,,
42,cql,CartPole-v1,observational,cql,0.0,3.0945892333984375,93.2053451538086,78.26912689208984,14.93621826171875,826.3991088867188,0.6942148804664612,0.5336170196533203,0.7399896383285522,0.8739520907402039,,,
42,cql,CartPole-v1,proximal,cql,0.0,2.919854164123535,71.126953125,78.26912689208984,-7.142173767089844,102.34838104248047,0.868686854839325,0.9603137373924255,0.9801461100578308,0.9599704146385193,,,
42,cql,CartPole-v1,oracle_u,cql,0.0,3.2767961025238037,78.26912689208984,78.26912689208984,0.0,0.0,1.0,1.0,1.0,1.0,,,
52,cql,CartPole-v1,observational,cql,0.0,3.126473903656006,100.35501098632812,80.97726440429688,19.37774658203125,1153.979736328125,0.7217630743980408,0.5179298520088196,0.7264546751976013,0.8725242018699646,,,
