episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
0,cql,CartPole-v1,observational,cql,0.0,1.0897159576416016,7.333646774291992,7.322828769683838,0.010818004608154297,0.006696261931210756,0.9332500696182251,0.9329288601875305,0.9679058194160461,0.9693931937217712,,,
0,cql,CartPole-v1,proximal,cql,0.0,0.9282443523406982,7.4190263748168945,7.322828769683838,0.09619760513305664,0.012166731990873814,0.9757500290870667,0.970305323600769,0.9850999712944031,0.9846780300140381,,,
0,cql,CartPole-v1,oracle_u,cql,0.0,0.9286184310913086,7.322828769683838,7.322828769683838,0.0,0.0,1.0,1.0,1.0,1.0,,,
10,cql,CartPole-v1,observational,cql,0.0,2.252845287322998,50.21477508544922,50.844783782958984,-0.6300086975097656,1.0998469591140747,0.843250036239624,0.9957553148269653,0.997905969619751,0.9809446930885315,,,
10,cql,CartPole-v1,proximal,cql,0.0,2.2200767993927,50.39391326904297,50.844783782958984,-0.4508705139160156,0.6652188897132874,0.846750020980835,0.9972106218338013,0.9986163377761841,0.9828103184700012,,,
10,cql,CartPole-v1,oracle_u,cql,0.0,2.245819330215454,50.844783782958984,50.844783782958984,0.0,0.0,1.0,1.0,1.0,1.0,,,
21,cql,CartPole-v1,observational,cql,0.0,2.544731855392456,78.42345428466797,80.56067657470703,-2.1372222900390625,7.036077976226807,0.8045000433921814,0.994807779788971,0.9977351427078247,0.9384547472000122,,,
21,cql,CartPole-v1,proximal,cql,0.0,2.678408145904541,81.17874908447266,80.56067657470703,0.618072509765625,9.09786319732666,0.79625004529953,0.9816659688949585,0.9907905459403992,0.02499685436487198,,,
21,cql,CartPole-v1,oracle_u,cql,0.0,2.6515989303588867,80.56067657470703,80.56067657470703,0.0,0.0,1.0,1.0,1.0,1.0,,,
31,cql,CartPole-v1,observational,cql,0.0,3.070887565612793,96.36225128173828,99.5691146850586,-3.2068634033203125,16.10320281982422,0.8905000686645508,0.9922700524330139,0.9964860677719116,0.9666643738746643,,,
31,cql,CartPole-v1,proximal,cql,0.0,3.4931068420410156,108.37506866455078,99.5691146850586,8.805953979492188,108.90594482421875,0.8515000343322754,0.9583415389060974,0.9841295480728149,0.1153145357966423,,,
31,cql,CartPole-v1,oracle_u,cql,0.0,3.2853357791900635,99.5691146850586,99.5691146850586,0.0,0.0,1.0,1.0,1.0,1.0,,,
42,cql,CartPole-v1,observational,cql,0.0,3.2877166271209717,110.46427917480469,118.10928344726562,-7.6450042724609375,65.94900512695312,0.8030000329017639,0.9930721521377563,0.9983260035514832,0.8442098498344421,,,
42,cql,CartPole-v1,proximal,cql,0.0,3.831679105758667,126.21194458007812,118.10928344726562,8.1026611328125,86.43418884277344,0.8842500448226929,0.980811595916748,0.9937384128570557,0.6811496615409851,,,
42,cql,CartPole-v1,oracle_u,cql,0.0,3.500891923904419,118.10928344726562,118.10928344726562,0.0,0.0,1.0,1.0,1.0,1.0,,,
52,cql,CartPole-v1,observational,cql,0.0,3.7080135345458984,118.7751693725586,123.47868347167969,-4.703514099121094,27.411914825439453,0.95250004529953,0.9956116676330566,0.998287558555603,0.8715188503265381,,,
52,cql,CartPole-v1,proximal,cql,0.0,4.028547286987305,134.36241149902344,123.47868347167969,10.88372802734375,134.64703369140625,0.9302500486373901,0.9865654110908508,0.9973340034484863,0.7513845562934875,,,
52,cql,CartPole-v1,oracle_u,cql,0.0,3.906261444091797,123.47868347167969,123.47868347167969,0.0,0.0,1.0,1.0,1.0,1.0,,,
62,cql,CartPole-v1,observational,cql,0.0,3.4908180236816406,119.3463363647461,127.355712890625,-8.009376525878906,76.04137420654297,0.6112500429153442,0.9911338686943054,0.9973725080490112,0.9222574234008789,,,
62,cql,CartPole-v1,proximal,cql,0.0,3.985917091369629,130.5519561767578,127.355712890625,3.1962432861328125,23.078533172607422,0.5975000262260437,0.9904097318649292,0.995521068572998,0.8384779691696167,,,
62,cql,CartPole-v1,oracle_u,cql,0.0,4.012463569641113,127.355712890625,127.355712890625,0.0,0.0,1.0,1.0,1.0,1.0,,,
73,cql,CartPole-v1,observational,cql,0.0,3.0279386043548584,120.63074493408203,128.04055786132812,-7.409812927246094,66.58747863769531,0.6287500262260437,0.9911080002784729,0.9972723126411438,0.9388189315795898,,,
73,cql,CartPole-v1,proximal,cql,0.0,3.073056221008301,132.26136779785156,128.04055786132812,4.2208099365234375,29.702232360839844,0.5957500338554382,0.9909521341323853,0.9961428642272949,0.7986595034599304,,,
73,cql,CartPole-v1,oracle_u,cql,0.0,2.657599449157715,128.04055786132812,128.04055786132812,0.0,0.0,1.0,1.0,1.0,1.0,,,
83,cql,CartPole-v1,observational,cql,0.0,10.266801834106445,121.53956604003906,127.60359954833984,-6.064033508300781,58.56672286987305,0.9105000495910645,0.9839919805526733,0.9933702945709229,0.980658769607544,,,
83,cql,CartPole-v1,proximal,cql,0.0,14.336491584777832,135.88967895507812,127.60359954833984,8.286079406738281,83.33533477783203,0.8820000290870667,0.9892202615737915,0.9961715936660767,0.9686561226844788,,,
83,cql,CartPole-v1,oracle_u,cql,0.0,13.183382987976074,127.60359954833984,127.60359954833984,0.0,0.0,1.0,1.0,1.0,1.0,,,
93,cql,CartPole-v1,observational,cql,0.0,4.235255241394043,121.75023651123047,133.87904357910156,-12.128807067871094,166.59535217285156,0.7242500185966492,0.9863361120223999,0.9958210587501526,0.3525080382823944,,,
93,cql,CartPole-v1,proximal,cql,0.0,4.806738376617432,133.7275390625,133.87904357910156,-0.1515045166015625,8.457099914550781,0.5722500085830688,0.9940863847732544,0.9970991611480713,0.3240640163421631,,,
93,cql,CartPole-v1,oracle_u,cql,0.0,4.843874931335449,133.87904357910156,133.87904357910156,0.0,0.0,1.0,1.0,1.0,1.0,,,
104,cql,CartPole-v1,observational,cql,0.0,3.0965423583984375,123.99549865722656,150.23292541503906,-26.2374267578125,800.3897094726562,0.2460000067949295,0.9391802549362183,0.981498122215271,-0.3728159964084625,,,
