episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,cql,CartPole-v1,,,2.8646178245544434,,,,,1.682777762413025,,1.682777762413025
4000,cql,CartPole-v1,,,4.339419841766357,,,,,1.875615119934082,,1.875615119934082
6000,cql,CartPole-v1,,,5.929427146911621,,,,,2.591655731201172,,2.591655731201172
8000,cql,CartPole-v1,,,6.464646339416504,,,,,1.8375029563903809,,1.8375029563903809
10000,cql,CartPole-v1,,,6.96944522857666,,,,,1.7722535133361816,,1.7722535133361816
12000,cql,CartPole-v1,,,7.187404632568359,,,,,1.8244285583496094,,1.8244285583496094
14000,cql,CartPole-v1,,,8.04548168182373,,,,,1.9129884243011475,,1.9129884243011475
16000,cql,CartPole-v1,,,9.513994216918945,,,,,2.0209507942199707,,2.0209507942199707
18000,cql,CartPole-v1,,,8.514131546020508,,,,,1.697916030883789,,1.697916030883789
20000,cql,CartPole-v1,,,12.164875984191895,,,,,3.704066276550293,,3.704066276550293
22000,cql,CartPole-v1,,,9.433060646057129,,,,,1.987919807434082,,1.987919807434082
24000,cql,CartPole-v1,,,9.325560569763184,,,,,1.9325206279754639,,1.9325206279754639
26000,cql,CartPole-v1,,,11.592387199401855,,,,,2.0573549270629883,,2.0573549270629883
28000,cql,CartPole-v1,,,11.343024253845215,,,,,1.8650522232055664,,1.8650522232055664
30000,cql,CartPole-v1,,,11.545924186706543,,,,,1.7555798292160034,,1.7555798292160034
32000,cql,CartPole-v1,,,12.157718658447266,,,,,2.153782367706299,,2.153782367706299
34000,cql,CartPole-v1,,,13.196235656738281,,,,,2.099912405014038,,2.099912405014038
36000,cql,CartPole-v1,,,12.843392372131348,,,,,1.857410192489624,,1.857410192489624
38000,cql,CartPole-v1,,,13.115884780883789,,,,,1.794237494468689,,1.794237494468689
40000,cql,CartPole-v1,,,11.902034759521484,,,,,1.8393492698669434,,1.8393492698669434
42000,cql,CartPole-v1,,,12.792488098144531,,,,,1.820080280303955,,1.820080280303955
44000,cql,CartPole-v1,,,13.32193660736084,,,,,1.7539594173431396,,1.7539594173431396
46000,cql,CartPole-v1,,,14.490520477294922,,,,,2.0792267322540283,,2.0792267322540283
48000,cql,CartPole-v1,,,13.92158317565918,,,,,1.888655185699463,,1.888655185699463
50000,cql,CartPole-v1,,,12.053979873657227,,,,,1.861616611480713,,1.861616611480713
